Policy Variable,Taxation,GDP Growth Rate(%),Innovation,Investment International,Trade Policy Impact (Dependent Variable)
1,3.1,5.2,3.8,120,0
0,1.5,2.7,2.5,90,1
1,4.9,4.1,4.2,110,2
0,0.8,3.5,3,95,1
1,3.8,6.3,2.6,97,0
0,2.1,2.6,3.08,114,1
1,4.5,5,2.4,100,2
0,2.4,0.43,4.7,112,2
1,3.4,5.14,3.2,119,1
0,1.9,2.5,2.54,103,0
1,3.2,6.3,2.5,111,1
0,0.4,3.1,4,123,2
1,2.9,4.5,3.8,127,0
0,1.4,2.7,2.8,96,0
1,2.8,5.4,4.4,87,2
0,1.3,2.05,2.1,81,1
1,4.1,4.9,4.6,85,1
0,1.1,1.6,3.7,109,2
1,5,6.1,3.3,129,0
